Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Defibrillator,B-6120,Thermo Fisher Scientific,v2.2,2020-07-12,Class II,,Geriatric,Used for compression therapy administration in pediatric hospital units under specialist supervision.,None,Hydrogen Peroxide Plasma,13,17,8.0,13.55,14.0,Device Name: Defibrillator. Model: B-6120. Manufacturer: Thermo Fisher Scientific. Indications: Used for compression therapy administration in pediatric hospital units under specialist supervision.. Contraindications: None.
Syringe Pump,WAT908,Waters Corporation,v12.9,2017-11-27,Class II,TGA-389656,Adult and Pediatric,Intended for device maintenance support in cardiac catheterization laboratory environments.,None,Autoclave,6,12,12.0,4.37,16.0,Device Name: Syringe Pump. Model: WAT908. Manufacturer: Waters Corporation. Indications: Intended for device maintenance support in cardiac catheterization laboratory environments.. Contraindications: None.
Pulse Oximeter,Pro926,Cook Medical,Rev. 5.4,2018-05-18,Class I,HDE822707,All,Designed for perioperative electrolyte balance management during neurological interventions.,Not suitable for use in fire hazard zones with explosion or during MRI environments.,Gamma Irradiation,2,6,4.0,0.18,29.0,Device Name: Pulse Oximeter. Model: Pro926. Manufacturer: Cook Medical. Indications: Designed for perioperative electrolyte balance management during neurological interventions.. Contraindications: Not suitable for use in fire hazard zones with explosion or during MRI environments..
Nebulizer,ROC614,Roche,Version 17,2020-12-05,Class IIb,Q206471,Adult,Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.,Contraindicated in patients with severe active infections or uncontrolled metal implants.,Chemical Sterilization,8,10,,5.23,30.0,Device Name: Nebulizer. Model: ROC614. Manufacturer: Roche. Indications: Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.. Contraindications: Contraindicated in patients with severe active infections or uncontrolled metal implants..
X-Ray Machine,Pro275,Becton Dickinson,Version 11,2021-01-13,Class IIa,HDE832042,Adult (>65),Indicated for diagnostic documentation to assess hypertension in clinical environments.,Contraindicated in patients with pulmonary edema or severe skin allergies.,Chemical Sterilization,7,3,11.0,11.13,38.0,Device Name: X-Ray Machine. Model: Pro275. Manufacturer: Becton Dickinson. Indications: Indicated for diagnostic documentation to assess hypertension in clinical environments.. Contraindications: Contraindicated in patients with pulmonary edema or severe skin allergies..
Electrosurgical Unit,OLY153,Olympus Corporation,v8.4,2019-10-21,Class IIa,NDA762680,Adult and Pediatric,Intended for preventive screening evaluation in rehabilitation medicine for hypertension recovery.,Not recommended for use in immunocompromised patients or those with metal implants.,,16,20,6.0,14.04,18.0,Device Name: Electrosurgical Unit. Model: OLY153. Manufacturer: Olympus Corporation. Indications: Intended for preventive screening evaluation in rehabilitation medicine for hypertension recovery.. Contraindications: Not recommended for use in immunocompromised patients or those with metal implants..
X-Ray Machine,X-5064,Aesculap,Rev. 5.6,2021-01-20,Class II,IVDR-801341,Infant (0-2),Used for therapeutic pain management in geriatric patients requiring surgical intervention.,Avoid use in patients with coagulopathy or uncontrolled coagulopathy.,,4,9,14.0,15.12,29.0,Device Name: X-Ray Machine. Model: X-5064. Manufacturer: Aesculap. Indications: Used for therapeutic pain management in geriatric patients requiring surgical intervention.. Contraindications: Avoid use in patients with coagulopathy or uncontrolled coagulopathy..
Patient Monitor,Pro113,Steris,Version 19,2021-07-15,Class III,HC-327866,Adult,Used for intraoperative data analysis monitoring during complex vascular surgeries.,Not recommended for patients with sepsis or severe immunodeficiency.,Gamma Irradiation,10,13,12.0,4.28,19.0,Device Name: Patient Monitor. Model: Pro113. Manufacturer: Steris. Indications: Used for intraoperative data analysis monitoring during complex vascular surgeries.. Contraindications: Not recommended for patients with sepsis or severe immunodeficiency..
Stent,Model 9273,Johnson & Johnson,Rev. 8.9,2020-04-17,Class I,K192429,All,Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.,Avoid use if patient has renal insufficiency or history of embolism.,Chemical Sterilization,6,10,24.0,,42.0,Device Name: Stent. Model: Model 9273. Manufacturer: Johnson & Johnson. Indications: Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.. Contraindications: Avoid use if patient has renal insufficiency or history of embolism..
Infusion Pump,Plus236,Fresenius Medical Care,v10.7,2023-05-30,Class I,NDA141539,Geriatric,Intended for specimen collection verification in quality assurance and device validation protocols.,Not suitable for use in chemical exposure areas with explosion or during patient transport.,Hydrogen Peroxide Plasma,9,13,8.0,5.34,16.0,Device Name: Infusion Pump. Model: Plus236. Manufacturer: Fresenius Medical Care. Indications: Intended for specimen collection verification in quality assurance and device validation protocols.. Contraindications: Not suitable for use in chemical exposure areas with explosion or during patient transport..
Orthopedic Implant,BIO483,BioMérieux,v2.7,2021-05-20,Class IIa,,Pediatric,Indicated for cardiac output surveillance in infection control protocols.,Contraindicated in patients with severe diabetes or frostbite risk.,Not Applicable,6,7,8.0,0.11,39.0,Device Name: Orthopedic Implant. Model: BIO483. Manufacturer: BioMérieux. Indications: Indicated for cardiac output surveillance in infection control protocols.. Contraindications: Contraindicated in patients with severe diabetes or frostbite risk..
Anesthesia Machine,SON252,Sonova,2023-12-M,2024-03-15,Class III,HC-249304,Neonatal,Used for long-term respiratory support delivery in ambulatory care settings for infectious diseases patients.,Not recommended for use in radiation therapy patients or those with thrombocytopenia.,Steam Sterilization,15,22,14.0,142.08,14.0,Device Name: Anesthesia Machine. Model: SON252. Manufacturer: Sonova. Indications: Used for long-term respiratory support delivery in ambulatory care settings for infectious diseases patients.. Contraindications: Not recommended for use in radiation therapy patients or those with thrombocytopenia..
Surgical Robot,SYN263,Synthes,v8.8,2023-01-20,Class II,BLA415647,Adult,Intended for tissue biopsy delivery in palliative care settings for terminal patients.,Avoid use if patient has severe osteoporosis or is receiving sedatives.,UV Sterilization,18,12,7.0,3.44,26.0,Device Name: Surgical Robot. Model: SYN263. Manufacturer: Synthes. Indications: Intended for tissue biopsy delivery in palliative care settings for terminal patients.. Contraindications: Avoid use if patient has severe osteoporosis or is receiving sedatives..
X-Ray Machine,Z-8243,Coloplast,v12.0,2023-11-08,Class I,NMPA-985103,Adult and Pediatric,Designed for joint replacement facilitation in telemedicine and remote patient monitoring.,Do not use during local anesthesia administration or in comatose.,UV Sterilization,2,12,10.0,16.47,29.0,Device Name: X-Ray Machine. Model: Z-8243. Manufacturer: Coloplast. Indications: Designed for joint replacement facilitation in telemedicine and remote patient monitoring.. Contraindications: Do not use during local anesthesia administration or in comatose..
Anesthesia Machine,A-7053,Cooper Companies,Rev. 9.8,2019-09-23,Class IIb,CE2268,Adult,Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,UV Sterilization,21,19,20.0,106.61,38.0,Device Name: Anesthesia Machine. Model: A-7053. Manufacturer: Cooper Companies. Indications: Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.. Contraindications: Contraindicated in presence of radio frequencies or strong magnetic fields exposure..
Nebulizer,ZEI145,Zeiss Medical Technology,Version 18,2020-12-24,Class IIb,Q324867,Adult and Pediatric,Used for long-term oxygen therapy delivery in ambulatory care settings for cancer patients.,Avoid use in patients with active epilepsy or compromised nervous function.,Chemical Sterilization,9,3,6.0,3.82,38.0,Device Name: Nebulizer. Model: ZEI145. Manufacturer: Zeiss Medical Technology. Indications: Used for long-term oxygen therapy delivery in ambulatory care settings for cancer patients.. Contraindications: Avoid use in patients with active epilepsy or compromised nervous function..
Stent,SMI697,Smith & Nephew,v6.9,2020-12-20,Class III,K750760,All,Used for post-operative thermal therapy management in hospital recovery units.,Avoid use if patient has malignant hyperthermia or history of embolism.,,8,3,17.0,0.19,42.0,Device Name: Stent. Model: SMI697. Manufacturer: Smith & Nephew. Indications: Used for post-operative thermal therapy management in hospital recovery units.. Contraindications: Avoid use if patient has malignant hyperthermia or history of embolism..
Insulin Pump,Pro421,Richard Wolf,Version 2,2019-12-27,Class III,Q451640,Adult (18-65),Indicated for real-time hemoglobin levels assessment in emergency department triage protocols.,Avoid use if patient has skin allergies or is receiving radioactive materials.,Dry Heat,11,17,11.0,1.81,33.0,Device Name: Insulin Pump. Model: Pro421. Manufacturer: Richard Wolf. Indications: Indicated for real-time hemoglobin levels assessment in emergency department triage protocols.. Contraindications: Avoid use if patient has skin allergies or is receiving radioactive materials..
Surgical Drill,Model 7475,Boston Scientific,Rev. 10.9,2016-01-28,Class I,,Adult (18-65),Designed for compression therapy optimization in chronic disease management programs.,Contraindicated in patients with metal implants or unable to follow instructions.,,8,30,5.0,11.38,33.0,Device Name: Surgical Drill. Model: Model 7475. Manufacturer: Boston Scientific. Indications: Designed for compression therapy optimization in chronic disease management programs.. Contraindications: Contraindicated in patients with metal implants or unable to follow instructions..
Electrosurgical Unit,C-4106,Hoya Corporation,v4.0,2024-05-05,Class I,CE9459,Infant (0-2),Designed for perioperative temperature management during orthopedic interventions.,"Not recommended during pregnancy, lactation, or in chemotherapy under 14 years.",Pre-Sterilized,14,22,8.0,11.36,34.0,"Device Name: Electrosurgical Unit. Model: C-4106. Manufacturer: Hoya Corporation. Indications: Designed for perioperative temperature management during orthopedic interventions.. Contraindications: Not recommended during pregnancy, lactation, or in chemotherapy under 14 years.."
Anesthesia Machine,Pro231,Smith & Nephew,Version 19,2023-09-05,Class I,HDE396080,Adult and Pediatric,Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use in patients with epilepsy. Contraindicated in unsupervised use.,,20,29,16.0,89.34,32.0,Device Name: Anesthesia Machine. Model: Pro231. Manufacturer: Smith & Nephew. Indications: Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.. Contraindications: Do not use in patients with epilepsy. Contraindicated in unsupervised use..
Blood Glucose Monitor,C-6563,Edwards Lifesciences,Rev. 6.6,2022-05-12,Class I,TGA-293790,Pediatric,Intended for medication administration delivery in palliative care settings for terminal patients.,Contraindicated in patients with severe anemia or on magnetic materials.,Not Applicable,5,10,4.0,0.11,27.0,Device Name: Blood Glucose Monitor. Model: C-6563. Manufacturer: Edwards Lifesciences. Indications: Intended for medication administration delivery in palliative care settings for terminal patients.. Contraindications: Contraindicated in patients with severe anemia or on magnetic materials..
Pulse Oximeter,Model 4610,ResMed,Version 2,2017-03-08,Class II,IVDR-822976,Adult and Pediatric,Indicated for routine documentation screening in outpatient clinical facilities.,None,Not Applicable,9,9,4.0,0.35,26.0,Device Name: Pulse Oximeter. Model: Model 4610. Manufacturer: ResMed. Indications: Indicated for routine documentation screening in outpatient clinical facilities.. Contraindications: None.
Dialysis Machine,TER658,Terumo,v5.8,2020-08-10,Class III,P770567,Adult (18-65),Designed for perioperative central venous pressure management during transplant interventions.,Avoid use in patients with active respiratory failure or compromised nervous function.,Gamma Irradiation,6,18,12.0,45.78,10.0,Device Name: Dialysis Machine. Model: TER658. Manufacturer: Terumo. Indications: Designed for perioperative central venous pressure management during transplant interventions.. Contraindications: Avoid use in patients with active respiratory failure or compromised nervous function..
Blood Pressure Monitor,Model 334,Karl Storz,Version 14,2021-03-19,Class IIb,NMPA-967832,All,Indicated for pH levels analysis in laboratory diagnostic testing environments.,Do not use in patients with cardiomyopathy or severe bleeding disorders.,UV Sterilization,12,17,8.0,2.25,12.0,Device Name: Blood Pressure Monitor. Model: Model 334. Manufacturer: Karl Storz. Indications: Indicated for pH levels analysis in laboratory diagnostic testing environments.. Contraindications: Do not use in patients with cardiomyopathy or severe bleeding disorders..
Anesthesia Machine,C-1867,Siemens Healthineers,v12.6,2016-03-09,Class IIa,H754685,Infant (0-2),Designed for joint replacement facilitation in telemedicine and remote patient monitoring.,Not suitable for use during cryotherapy or CT scan.,,10,12,9.0,132.58,9.0,Device Name: Anesthesia Machine. Model: C-1867. Manufacturer: Siemens Healthineers. Indications: Designed for joint replacement facilitation in telemedicine and remote patient monitoring.. Contraindications: Not suitable for use during cryotherapy or CT scan..
Infusion Pump,X-2808,ResMed,Rev. 2.4,2016-07-22,Class III,,Adult (>65),Used for long-term wound irrigation delivery in ambulatory care settings for sleep apnea patients.,Contraindicated in patients with pulmonary edema or on antibiotics.,Single-Use Sterile,13,16,10.0,7.48,27.0,Device Name: Infusion Pump. Model: X-2808. Manufacturer: ResMed. Indications: Used for long-term wound irrigation delivery in ambulatory care settings for sleep apnea patients.. Contraindications: Contraindicated in patients with pulmonary edema or on antibiotics..
Anesthesia Machine,Model 6642,,Version 17,2020-11-10,Class IIa,CE8440,Neonatal,Intended for life support therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with severe hypertension or uncontrolled severe anemia.,Hydrogen Peroxide Plasma,17,24,9.0,138.36,11.0,Device Name: Anesthesia Machine. Model: Model 6642. Manufacturer: nan. Indications: Intended for life support therapy in intensive care unit environments for critically ill patients.. Contraindications: Avoid use in patients with severe hypertension or uncontrolled severe anemia..
Surgical Robot,ALI546,Align Technology,Rev. 6.2,2025-11-10,Class III,K199504,All,Intended for monitoring and measuring heart rate in unconscious patients in hospital and clinical settings.,Avoid use if patient has pulmonary edema or is receiving bronchodilators.,Dry Heat,9,17,12.0,17.86,34.0,Device Name: Surgical Robot. Model: ALI546. Manufacturer: Align Technology. Indications: Intended for monitoring and measuring heart rate in unconscious patients in hospital and clinical settings.. Contraindications: Avoid use if patient has pulmonary edema or is receiving bronchodilators..
Nebulizer,DAN359,Danaher,Rev. 10.5,2018-12-27,Class I,BLA854875,Adult (>65),Used for intraoperative device maintenance monitoring during complex thoracic surgeries.,Contraindicated in presence of gadolinium agents or during hyperthermia treatment.,UV Sterilization,7,12,12.0,7.44,23.0,Device Name: Nebulizer. Model: DAN359. Manufacturer: Danaher. Indications: Used for intraoperative device maintenance monitoring during complex thoracic surgeries.. Contraindications: Contraindicated in presence of gadolinium agents or during hyperthermia treatment..
Pulse Oximeter,Model 4442,Johnson & Johnson,v4.3,2019-10-03,Class III,UKCA36895,All,Intended for measurement verification in quality assurance and device validation protocols.,Avoid use in patients with screws and rods or heart valves. Not suitable for fire hazard zones.,Steam Sterilization,7,11,4.0,0.21,21.0,Device Name: Pulse Oximeter. Model: Model 4442. Manufacturer: Johnson & Johnson. Indications: Intended for measurement verification in quality assurance and device validation protocols.. Contraindications: Avoid use in patients with screws and rods or heart valves. Not suitable for fire hazard zones..
Orthopedic Implant,BEC404,Becton Dickinson,Version 2,2018-06-10,Class III,PMA948323,Pediatric (2-18),Designed for perioperative ECG readings management during emergency interventions.,Avoid use if patient has bleeding disorders or history of embolism.,Autoclave,10,12,24.0,0.12,37.0,Device Name: Orthopedic Implant. Model: BEC404. Manufacturer: Becton Dickinson. Indications: Designed for perioperative ECG readings management during emergency interventions.. Contraindications: Avoid use if patient has bleeding disorders or history of embolism..
ECG Machine,C-2893,Edwards Lifesciences,Version 1,2019-11-23,Class IIa,PMDA-674892,Pediatric,Intended for catheterization delivery in palliative care settings for terminal patients.,Contraindicated in patients with autoimmune disorders or on gadolinium agents.,UV Sterilization,6,3,13.0,7.35,29.0,Device Name: ECG Machine. Model: C-2893. Manufacturer: Edwards Lifesciences. Indications: Intended for catheterization delivery in palliative care settings for terminal patients.. Contraindications: Contraindicated in patients with autoimmune disorders or on gadolinium agents..
Catheter,Max422,Cook Medical,2021-08-X,2019-03-21,Class II,BLA430163,All,Intended for monitoring and measuring pH levels in organ transplant patients in hospital and clinical settings.,Contraindicated in patients with autoimmune disorders or frostbite risk.,Hydrogen Peroxide Plasma,9,14,10.0,10.47,27.0,Device Name: Catheter. Model: Max422. Manufacturer: Cook Medical. Indications: Intended for monitoring and measuring pH levels in organ transplant patients in hospital and clinical settings.. Contraindications: Contraindicated in patients with autoimmune disorders or frostbite risk..
Insulin Pump,C-2603,B. Braun,Rev. 5.0,2019-08-08,Class IIb,PMDA-128259,Geriatric,Used for wound irrigation guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,Pre-Sterilized,8,12,7.0,,21.0,Device Name: Insulin Pump. Model: C-2603. Manufacturer: B. Braun. Indications: Used for wound irrigation guidance in oncology treatment centers for cancer patients.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Electrosurgical Unit,Plus610,Dexcom,Version 4,2024-06-13,Class IIa,,Pediatric,Indicated for routine patient positioning screening in outpatient clinical facilities.,Avoid use in patients with active bleeding disorders or compromised cardiovascular function.,Autoclave,13,28,,2.8,29.0,Device Name: Electrosurgical Unit. Model: Plus610. Manufacturer: Dexcom. Indications: Indicated for routine patient positioning screening in outpatient clinical facilities.. Contraindications: Avoid use in patients with active bleeding disorders or compromised cardiovascular function..
Patient Monitor,Model 8273,BioMérieux,Rev. 10.9,2024-07-15,Class I,NMPA-864402,Adult (18-65),Used for long-term chemotherapy delivery in ambulatory care settings for chronic conditions patients.,Not recommended for patients with coagulopathy or severe severe hypertension.,Chemical Sterilization,14,16,11.0,3.77,39.0,Device Name: Patient Monitor. Model: Model 8273. Manufacturer: BioMérieux. Indications: Used for long-term chemotherapy delivery in ambulatory care settings for chronic conditions patients.. Contraindications: Not recommended for patients with coagulopathy or severe severe hypertension..
Blood Glucose Monitor,Model 3691,Intuitive Surgical,Version 7,2019-03-23,Class II,NDA639977,Geriatric,Used for long-term fluid resuscitation delivery in ambulatory care settings for sepsis patients.,None,Autoclave,8,15,7.0,0.45,21.0,Device Name: Blood Glucose Monitor. Model: Model 3691. Manufacturer: Intuitive Surgical. Indications: Used for long-term fluid resuscitation delivery in ambulatory care settings for sepsis patients.. Contraindications: None.
CPAP Machine,B-1047,Abbott,Version 12,2021-08-19,Class I,PMA540366,Pediatric,Used for radiation therapy guidance in oncology treatment centers for cancer patients.,"Not recommended during pregnancy, lactation, or in sedated under 20 years.",Not Applicable,10,4,9.0,8.33,18.0,"Device Name: CPAP Machine. Model: B-1047. Manufacturer: Abbott. Indications: Used for radiation therapy guidance in oncology treatment centers for cancer patients.. Contraindications: Not recommended during pregnancy, lactation, or in sedated under 20 years.."
Blood Pressure Monitor,Model 6060,GE Healthcare,Rev. 9.8,2023-08-11,Class IIa,H803120,Adult and Pediatric,Indicated for intracranial pressure surveillance in infection control protocols.,Avoid use in patients with skin allergies or uncontrolled thrombocytopenia.,Pre-Sterilized,13,16,11.0,6.34,13.0,Device Name: Blood Pressure Monitor. Model: Model 6060. Manufacturer: GE Healthcare. Indications: Indicated for intracranial pressure surveillance in infection control protocols.. Contraindications: Avoid use in patients with skin allergies or uncontrolled thrombocytopenia..
X-Ray Machine,X-5132,Intuitive Surgical,v8.9,2017-01-11,Class I,HC-842058,Neonatal,Used for therapeutic respiratory support in geriatric patients requiring wound debridement.,Avoid use if patient has coagulopathy or history of blood clots.,Dry Heat,8,14,12.0,,31.0,Device Name: X-Ray Machine. Model: X-5132. Manufacturer: Intuitive Surgical. Indications: Used for therapeutic respiratory support in geriatric patients requiring wound debridement.. Contraindications: Avoid use if patient has coagulopathy or history of blood clots..
Stent,Model 9361,Getinge,Version 6,2018-12-09,Class II,PMA730334,All,Intended for surgical reconstructive procedures in operating room settings.,None,UV Sterilization,3,3,19.0,0.17,40.0,Device Name: Stent. Model: Model 9361. Manufacturer: Getinge. Indications: Intended for surgical reconstructive procedures in operating room settings.. Contraindications: None.
Nebulizer,BEC783,Becton Dickinson,Rev. 5.2,2025-11-27,Class III,TGA-243209,Adult (18-65),Designed for thermal therapy optimization in chronic disease management programs.,Do not use if patient has known allergy to cleaning solvents or hypersensitivity to bronchodilators.,Not Applicable,7,6,9.0,,34.0,Device Name: Nebulizer. Model: BEC783. Manufacturer: Becton Dickinson. Indications: Designed for thermal therapy optimization in chronic disease management programs.. Contraindications: Do not use if patient has known allergy to cleaning solvents or hypersensitivity to bronchodilators..
Nebulizer,X-2202,Siemens Healthineers,Rev. 3.3,2019-01-25,Class I,PMDA-863535,Adult and Pediatric,Intended for monitoring and measuring central venous pressure in mentally impaired patients in hospital and clinical settings.,Do not use if patient has known allergy to alcohol-based solutions or hypersensitivity to chemotherapy drugs.,Pre-Sterilized,10,5,9.0,3.85,32.0,Device Name: Nebulizer. Model: X-2202. Manufacturer: Siemens Healthineers. Indications: Intended for monitoring and measuring central venous pressure in mentally impaired patients in hospital and clinical settings.. Contraindications: Do not use if patient has known allergy to alcohol-based solutions or hypersensitivity to chemotherapy drugs..
Catheter,Model 4591,Dexcom,v15.9,2015-06-13,Class II,MDR-867459,Pediatric,Intended for life support evaluation in rehabilitation medicine for cardiac disorders recovery.,Avoid use in patients with ports and catheters or cochlear implants. Not suitable for unsupervised use.,,6,6,9.0,11.37,39.0,Device Name: Catheter. Model: Model 4591. Manufacturer: Dexcom. Indications: Intended for life support evaluation in rehabilitation medicine for cardiac disorders recovery.. Contraindications: Avoid use in patients with ports and catheters or cochlear implants. Not suitable for unsupervised use..
Defibrillator,DEX454,Dexcom,Version 19,2018-06-06,Class IIb,PMDA-907313,Pediatric (2-18),Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Not suitable for use during photodynamic therapy or X-ray.,Single-Use Sterile,20,14,13.0,11.92,26.0,Device Name: Defibrillator. Model: DEX454. Manufacturer: Dexcom. Indications: Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.. Contraindications: Not suitable for use during photodynamic therapy or X-ray..
Syringe Pump,Z-7736,Zimmer Biomet,Rev. 10.0,2023-01-22,Class I,P651348,Infant (0-2),Used for intraoperative data analysis monitoring during complex laparoscopic surgeries.,Not suitable for use with latex proteins or in infectious disease isolation.,Pre-Sterilized,12,13,11.0,6.39,10.0,Device Name: Syringe Pump. Model: Z-7736. Manufacturer: Zimmer Biomet. Indications: Used for intraoperative data analysis monitoring during complex laparoscopic surgeries.. Contraindications: Not suitable for use with latex proteins or in infectious disease isolation..
Digital Thermometer,Pro785,Alcon,Rev. 2.4,2019-02-22,Class I,P189220,All,Designed for life support assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of conductive gels or during electrosurgery.,Not Applicable,2,3,5.0,0.16,32.0,Device Name: Digital Thermometer. Model: Pro785. Manufacturer: Alcon. Indications: Designed for life support assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in presence of conductive gels or during electrosurgery..
Ultrasound Scanner,Model 4657,Johnson & Johnson,v6.8,2021-04-01,Class IIa,IVDR-245872,Geriatric,Intended for monitoring and measuring cardiac output in paralyzed patients in hospital and clinical settings.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,Chemical Sterilization,2,4,3.0,5.83,26.0,Device Name: Ultrasound Scanner. Model: Model 4657. Manufacturer: Johnson & Johnson. Indications: Intended for monitoring and measuring cardiac output in paralyzed patients in hospital and clinical settings.. Contraindications: Contraindicated in presence of radio frequencies or strong magnetic fields exposure..
Surgical Drill,Z-9338,Cooper Companies,Rev. 6.0,2016-06-21,Class III,HC-809658,Pediatric (2-18),Used for therapeutic pain management in organ transplant patients requiring medication administration.,Not suitable for use in training scenarios with explosion or during electromagnetic interference zones.,Not Applicable,22,30,11.0,19.37,18.0,Device Name: Surgical Drill. Model: Z-9338. Manufacturer: Cooper Companies. Indications: Used for therapeutic pain management in organ transplant patients requiring medication administration.. Contraindications: Not suitable for use in training scenarios with explosion or during electromagnetic interference zones..
Insulin Pump,Model 2978,Fresenius Medical Care,v4.2,2021-11-29,Class IIa,CE7946,Pediatric (2-18),Indicated for routine data analysis screening in outpatient clinical facilities.,Do not use during local anesthesia administration or in comatose.,Chemical Sterilization,7,11,11.0,7.38,25.0,Device Name: Insulin Pump. Model: Model 2978. Manufacturer: Fresenius Medical Care. Indications: Indicated for routine data analysis screening in outpatient clinical facilities.. Contraindications: Do not use during local anesthesia administration or in comatose..
Patient Monitor,Model 9768,Smith & Nephew,v12.8,2019-06-21,Class IIa,HDE592743,Adult (18-65),Designed for tissue biopsy facilitation in telemedicine and remote patient monitoring.,Avoid use if patient has respiratory failure or is receiving cleaning solvents.,Dry Heat,11,14,11.0,4.36,39.0,Device Name: Patient Monitor. Model: Model 9768. Manufacturer: Smith & Nephew. Indications: Designed for tissue biopsy facilitation in telemedicine and remote patient monitoring.. Contraindications: Avoid use if patient has respiratory failure or is receiving cleaning solvents..
Insulin Pump,Model 7883,Mindray,v8.8,2025-11-15,Class III,IDE947929,Adult (18-65),Used for therapeutic wound irrigation in immunocompromised patients requiring tissue biopsy.,Contraindicated in patients with sepsis or frostbite risk.,Not Applicable,11,9,6.0,7.11,31.0,Device Name: Insulin Pump. Model: Model 7883. Manufacturer: Mindray. Indications: Used for therapeutic wound irrigation in immunocompromised patients requiring tissue biopsy.. Contraindications: Contraindicated in patients with sepsis or frostbite risk..
Stent,Max609,Sartorius,Version 15,2022-02-19,Class II,K955655,All,Intended for imaging support in cardiac catheterization laboratory environments.,Contraindicated in patients with bleeding disorders or unable to follow instructions.,Steam Sterilization,2,15,17.0,0.17,41.0,Device Name: Stent. Model: Max609. Manufacturer: Sartorius. Indications: Intended for imaging support in cardiac catheterization laboratory environments.. Contraindications: Contraindicated in patients with bleeding disorders or unable to follow instructions..
Infusion Pump,KAR679,Karl Storz,2023-07-R,2023-12-26,Class II,D812191,Adult (18-65),Designed for wound care assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with acute myocardial infarction or unable to follow instructions.,Not Applicable,14,13,7.0,3.06,40.0,Device Name: Infusion Pump. Model: KAR679. Manufacturer: Karl Storz. Indications: Designed for wound care assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in patients with acute myocardial infarction or unable to follow instructions..
Electrosurgical Unit,Model 7242,Cook Medical,v8.9,2019-07-06,Class III,H919420,Adult and Pediatric,Indicated for diagnostic calibration to assess renal failure in clinical environments.,Contraindicated in patients with severe hypertension or frostbite risk.,Single-Use Sterile,25,19,12.0,2.01,21.0,Device Name: Electrosurgical Unit. Model: Model 7242. Manufacturer: Cook Medical. Indications: Indicated for diagnostic calibration to assess renal failure in clinical environments.. Contraindications: Contraindicated in patients with severe hypertension or frostbite risk..
Orthopedic Implant,Z-8985,Getinge,Rev. 6.2,2017-11-06,Class II,HDE579959,Geriatric,Designed for catheterization facilitation in telemedicine and remote patient monitoring.,Not suitable for use in chemical exposure areas with radiation or during training scenarios.,Ethylene Oxide (EtO),9,5,11.0,0.18,38.0,Device Name: Orthopedic Implant. Model: Z-8985. Manufacturer: Getinge. Indications: Designed for catheterization facilitation in telemedicine and remote patient monitoring.. Contraindications: Not suitable for use in chemical exposure areas with radiation or during training scenarios..
Nebulizer,B-4989,Zimmer Biomet,Rev. 6.4,2021-05-26,Class II,PMDA-828198,Geriatric,Used for long-term thermal therapy delivery in ambulatory care settings for cardiac disorders patients.,Not suitable for use in MRI environments with radiation or during underwater environments.,Chemical Sterilization,5,13,7.0,3.03,35.0,Device Name: Nebulizer. Model: B-4989. Manufacturer: Zimmer Biomet. Indications: Used for long-term thermal therapy delivery in ambulatory care settings for cardiac disorders patients.. Contraindications: Not suitable for use in MRI environments with radiation or during underwater environments..
Infusion Pump,X-4553,Mindray,v3.0,2018-03-29,Class II,MDR-438238,Pediatric,Indicated for diagnostic measurement to assess sepsis in clinical environments.,Avoid use in patients with pregnancy or altered cognitive function.,Hydrogen Peroxide Plasma,14,13,12.0,2.72,17.0,Device Name: Infusion Pump. Model: X-4553. Manufacturer: Mindray. Indications: Indicated for diagnostic measurement to assess sepsis in clinical environments.. Contraindications: Avoid use in patients with pregnancy or altered cognitive function..
Dialysis Machine,Pro984,Dentsply Sirona,Version 18,2020-06-03,Class II,TGA-656580,Geriatric,Designed for wound care assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with coagulopathy or severe metal implants.,,10,20,15.0,123.34,19.0,Device Name: Dialysis Machine. Model: Pro984. Manufacturer: Dentsply Sirona. Indications: Designed for wound care assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in patients with coagulopathy or severe metal implants..
